id,state,category,question,optionA,optionB,optionC,optionD,correctIndex,correctAnswer
NJ-025,NJ,duiStateLaws,"What program is required after a DWI conviction in New Jersey?","Intoxicated Driver Resource Ctr","Online traffic school only here","Victim impact panel only here","No program is required here",0,A
NJ-026,NJ,duiStateLaws,"What is the consequence of an underage driver having a BAC of 0.08% or higher in New Jersey?","Warning only","Charged as adult DWI","License suspension only","Diversion program",1,B
NJ-027,NJ,insurance,"What type of insurance system does New Jersey use?","Pure no-fault system","Pure at-fault system","Choice no-fault system","Hybrid mandatory system",2,C
NJ-028,NJ,insurance,"What does Personal Injury Protection cover in New Jersey?","Property damage only here","Other drivers' injuries here","Vehicle theft claims only","Your medical expenses, no-fault",3,D
NJ-029,NJ,insurance,"What coverage protects you if hit by an uninsured driver in New Jersey?","Uninsured motorist coverage","Comprehensive coverage","Collision coverage only","Liability coverage only",0,A
NJ-030,NJ,insurance,"What are the two policy options available in New Jersey?","Minimum and maximum","Basic and Standard","Limited and unlimited","Economy and premium",1,B
NJ-031,NJ,stateUnique,"When must you turn on headlights in New Jersey?","Only at night time","During rain only","When using wipers","Only in fog conditions",2,C
NJ-032,NJ,stateUnique,"What must you do when approaching a stationary emergency vehicle with flashing lights in New Jersey?","Honk your horn loudly","Stop completely first","Flash your lights","Move over or slow down",3,D
NJ-033,NJ,stateUnique,"How far must you stop from a school bus with flashing red lights on a two-lane road in New Jersey?","At least 25 feet","At least 10 feet","At least 50 feet","At least 100 feet",0,A
NJ-034,NJ,stateUnique,"When can you pass a school bus with red flashing lights in New Jersey?","Never permitted at all here","Parked at school, same side, 10 mph","Anytime on divided highways here","When no children are visible here",1,B
NJ-035,NJ,stateUnique,"What speed should you slow to when passing a school bus on a dual highway from the opposite side in New Jersey?","Stop completely","25 mph","10 mph","Posted speed limit",2,C
NJ-036,NJ,stateUnique,"When are right turns on red allowed in New Jersey?","Never permitted at all","Always without stopping first","Only during daytime hours","After full stop unless posted",3,D
NJ-037,NJ,stateUnique,"When must headlights be on based on time of day in New Jersey?","30 min after sunset to 30 min before sunrise","From sunset to sunrise only here now","1 hr after sunset to 1 hr before sunrise","Only when completely dark outside here",0,A
NJ-038,NJ,stateUnique,"Why aren't daytime running lights sufficient when wipers are on in New Jersey?","They're too dim always","Tail lights are not activated","They drain the battery","They're illegal in New Jersey",1,B
NJ-039,NJ,stateUnique,"When must you have headlights on due to visibility conditions in New Jersey?","Only in complete darkness","When raining heavily","Cannot see 500 feet ahead","Only in snowstorms occurring",2,C
NJ-040,NJ,stateUnique,"Is flashing headlights to warn other drivers about a speed trap legal in New Jersey?","Illegal and heavily fined","Legal only on highways only","Requires police permission here","Legal, not prohibited by statute",3,D
NM-001,NM,gdlLicensing,"At what minimum age can you apply for an instructional permit in New Mexico?","15 years old","16 years old","14 years old","15½ years old",0,A
NM-002,NM,gdlLicensing,"Who can supervise a driver with an instructional permit in New Mexico?","Any licensed driver over age 18","Driver 21+ with 3 yrs experience","Any family member with license","Only certified driving instructors",1,B
NM-003,NM,gdlLicensing,"How long must you hold an instructional permit before applying for a provisional license in New Mexico?","3 months minimum","1 year minimum","At least 6 months","9 months minimum",2,C
NM-004,NM,gdlLicensing,"How many hours of supervised driving practice are required in New Mexico?","30 hours total practice","40 hours total practice","100 hours total practice","50 hrs, 10 at night",3,D
NM-005,NM,gdlLicensing,"When can a provisional license holder drive alone between midnight and 5 AM in New Mexico?","Work, school, medical, religious","Anytime after 6 months period","Only on weekends is allowed","Never allowed at all times",0,A
NM-006,NM,gdlLicensing,"How many non-family passengers under 21 can a provisional license holder transport in New Mexico?","Two passengers max allowed","One unless with driver 21+","Three passengers max allowed","No passengers at all",1,B
NM-007,NM,gdlLicensing,"At what age can you obtain an unrestricted driver's license in New Mexico?","17 years old at minimum","18 years old at minimum","16½ with 1 yr clean record","21 years old at minimum",2,C
NM-008,NM,gdlLicensing,"What happens if you commit a traffic violation while holding an instructional permit in New Mexico?","Permit is revoked immediately","Must restart from beginning","Criminal record is created","Permit period extended 30 days",3,D
NM-009,NM,gdlLicensing,"How long must you be violation-free before applying for a provisional license in New Mexico?","90 days before application","6 months before application","1 year before application","No violation-free period required",0,A
NM-010,NM,gdlLicensing,"How long must a provisional license be held before getting a full license in New Mexico?","6 months minimum period","12 months violation-free","18 months minimum period","9 months minimum period",1,B
NM-011,NM,gdlLicensing,"What is the curfew restriction for provisional license holders in New Mexico?","11 PM to 6 AM hours","10 PM to 5 AM hours","Midnight to 5 AM","1 AM to 6 AM hours",2,C
NM-012,NM,gdlLicensing,"What documentation may be required for curfew exceptions in New Mexico?","Police permission only required","Court order document required","Notarized statement form required","Employer, school, or parent letter",3,D
NM-013,NM,cellPhone,"What does New Mexico law prohibit while driving?","Reading, viewing, typing texts","Only phone calls while driving","Only video recording done","Using Bluetooth devices",0,A
NM-014,NM,cellPhone,"Can you use voice-operated talk-to-text while driving in New Mexico?","No, all texting is fully banned","Yes, hands-free voice texting allowed","Only on major highways is allowed","Only for emergencies is allowed",1,B
NM-015,NM,cellPhone,"What phone use is prohibited for learner's permit and provisional license holders in New Mexico?","Only handheld phone calls","Only texting of messages","All phone use while driving","Only video recording use",2,C
NM-016,NM,cellPhone,"What restriction applies to commercial vehicle operators regarding cell phones in New Mexico?","Only texting prohibited","Only hands-free allowed","No restrictions apply","No handheld device use",3,D
NM-017,NM,cellPhone,"When can you legally use a phone to contact emergency services while driving in New Mexico?","Anytime to report emergencies","Only when fully stopped","Only with voice commands","Never while vehicle running",0,A
NM-018,NM,cellPhone,"What type of texting is permitted under New Mexico's distracted driving law?","Manual texting at stoplights","Voice-operated hands-free only","Texting with one hand only","No texting permitted at all",1,B
NM-019,NM,duiStateLaws,"What is the legal BAC limit for drivers under 21 in New Mexico?","0.08%","Zero tolerance","0.02%","0.04%",2,C
NM-020,NM,duiStateLaws,"What is the BAC limit for commercial drivers in New Mexico?","0.08%","0.02%","0.06%","0.04%",3,D
NM-021,NM,duiStateLaws,"What does implied consent mean for New Mexico drivers?","Agreement to BAC test when arrested","Permission to search vehicle","Consent to field sobriety only","Waiver of legal representation",0,A
NM-022,NM,duiStateLaws,"What is the consequence of refusing a chemical test for the first time in New Mexico?","6-month license suspension","1-year license revocation","No penalty until convicted","90-day license suspension",1,B
NM-023,NM,duiStateLaws,"At what BAC level is a DWI considered aggravated in New Mexico?","0.10% or higher","0.12% or higher","0.16% or higher","0.20% or higher",2,C
NM-024,NM,duiStateLaws,"What device is required for all DWI convictions in New Mexico?","GPS monitoring device used","Ankle monitor device used","Dash camera device used","Ignition interlock device",3,D
NM-025,NM,duiStateLaws,"How long does New Mexico track DWI convictions for sentencing enhancement?","55 years","10 years","7 years","Lifetime",0,A
NM-026,NM,duiStateLaws,"How long must SR-22 insurance be maintained after a DWI conviction in New Mexico?","One year minimum","Three years minimum","Two years minimum","Five years minimum",1,B
NM-027,NM,insurance,"What type of insurance system does New Mexico follow for auto accidents?","No-fault system used","Choice-based system","Fault-based system","Hybrid fault system",2,C
NM-028,NM,insurance,"What does liability insurance primarily cover in New Mexico?","Your vehicle damage only","Your medical bills only","Rental car expense coverage","Damages you cause to others",3,D
NM-029,NM,insurance,"What fault system does New Mexico use to allocate accident responsibility?","Comparative fault system","Modified comparative fault","Contributory negligence","No-fault allocation",0,A
NM-030,NM,insurance,"What additional coverage protects you if hit by an uninsured driver in New Mexico?","Comprehensive damage coverage","Uninsured motorist coverage","Collision damage coverage","Personal injury protection",1,B
